,Value.temp,Value.humid,Rain
153,59.36000061,36,0
154,59.36000061,36,0
155,59.36000061,38,0
156,59.54000092,38,0
157,59.72000122,38,0
158,59.72000122,38,0
159,59.54000092,36,0
160,59.54000092,37,0
161,59.54000092,36,0
162,59.54000092,36,0
163,59.36000061,37,0
164,59.36000061,37,0
165,59.36000061,37,0
166,59.36000061,37,0
167,59.36000061,37,0
168,59.36000061,37,0
169,59.36000061,37,0
170,59.36000061,37,0
171,59.36000061,37,0
172,59.36000061,37,0
173,59.36000061,37,0
174,59.36000061,37,0
175,59.36000061,37,0
176,59.36000061,37,0
177,59.36000061,37,0
178,59.36000061,37,0
179,59.36000061,36,0
180,59.36000061,37,0
181,59.36000061,37,0
182,59.36000061,36,0
183,59.36000061,37,0
184,59.36000061,36,0
185,59.36000061,38,0
186,59.36000061,37,0
187,59.36000061,37,0
188,59.36000061,37,0
189,59.36000061,37,0
190,59.36000061,37,0
191,59.36000061,36,0
192,59.36000061,36,0
193,59.36000061,36,0
194,59.36000061,36,0
195,59.36000061,35,0
196,59.36000061,35,0
197,59.36000061,35,0
198,59.36000061,36,0
199,59.36000061,36,0
200,59.36000061,36,0
201,85.63999939,36,0
202,85.63999939,36,0
203,85.63999939,36,0
204,85.63999939,36,0
205,85.63999939,36,0
206,85.63999939,36,0
207,85.63999939,36,0
208,85.63999939,36,0
209,85.63999939,37,0
210,85.63999939,37,0
211,86,37,0
212,85.81999969,37,0
213,85.81999969,37,0
214,86,37,0
215,86.18000031,37,0
216,86.18000031,37,0
217,86.18000031,37,0
218,86.18000031,37,0
219,86.36000061,37,0
220,86.36000061,37,0
221,86.36000061,37,0
222,86.36000061,37,0
223,85.63999939,36,0
224,85.63999939,37,0
225,85.63999939,39,0
226,85.63999939,37,0
227,85.63999939,37,0
228,85.63999939,37,0
229,85.63999939,37,0
230,85.63999939,37,0
231,85.63999939,37,0
232,86.18000031,37,0
233,86.18000031,37,0
234,86,37,0
235,86.18000031,37,0
236,86,37,0
237,86.18000031,38,0
238,86.18000031,36,0
239,86.36000061,37,0
240,86.36000061,56,0
241,86.36000061,75,1
242,85.81999969,63,0
243,85.81999969,63,0
244,85.81999969,54,0
245,85.81999969,47,0
246,85.81999969,37,0
247,85.81999969,36,0
248,85.81999969,36,0
249,85.81999969,45,0
250,85.81999969,52,0
251,85.81999969,44,0
252,85.81999969,38,0
253,85.81999969,38,0
254,85.81999969,38,0
255,85.81999969,38,0
256,85.81999969,38,0
257,85.63999939,38,0
258,85.63999939,38,0
259,85.63999939,38,0
260,85.63999939,38,0
261,85.63999939,38,0
262,85.63999939,37,0
263,85.63999939,39,0
264,85.63999939,37,0
265,85.63999939,38,0
266,85.63999939,38,0
267,85.63999939,38,0
268,85.63999939,38,0
269,85.63999939,38,0
270,85.63999939,38,0
271,85.63999939,38,0
272,85.81999969,40,0
273,85.63999939,41,0
274,85.81999969,40,0
275,85.81999969,42,0
276,85.81999969,39,0
277,85.81999969,38,0
278,85.81999969,38,0
279,85.63999939,38,0
280,85.63999939,38,0
281,85.63999939,38,0
282,85.63999939,38,0
283,85.63999939,38,0
284,85.63999939,39,0
285,85.63999939,38,0
286,85.63999939,38,0
287,85.63999939,39,0
288,85.63999939,63,0
289,86.18000031,39,0
290,86.18000031,39,0
291,86.18000031,39,0
292,86.18000031,38,0
293,86.18000031,37,0
294,85.63999939,36,0
295,85.63999939,95,1
296,85.63999939,95,1
297,85.81999969,38,0
298,85.63999939,38,0
299,85.63999939,38,0
300,85.63999939,38,0
301,85.63999939,38,0
302,85.63999939,38,0
303,86.18000031,38,0
304,86.18000031,38,0
305,86.18000031,38,0
306,86.18000031,41,0
307,85.63999939,40,0
308,85.63999939,40,0
309,85.63999939,41,0
310,85.63999939,41,0
311,85.63999939,40,0
312,85.63999939,40,0
313,85.63999939,41,0
314,85.63999939,41,0
315,85.63999939,41,0
316,85.63999939,41,0
317,85.63999939,41,0
318,85.63999939,41,0
319,86.18000031,41,0
320,86.18000031,43,0
321,86.18000031,43,0
322,86.18000031,43,0
